Name,CO1,CO2,CO3,CO4,CO5,CO6,CO7,CO8,CO9,CO10,CO11,CO12,CO13
Arp220,300521.8994600038,1614829.700262932,7899161.066186051,13105037.261262191,16756948.950902743,22729346.193335734,25049831.74612817,26761665.350647178,24327057.557553474,17080295.298423003,18392701.061887577,10061777.519895066,11431244.403510274
M82,7555.369613327883,77637.93602661067,174555.09106654074,342857.462453086,397568.7596530465,441598.32739968144,462701.2563196662,468953.9759996617,386365.970226388,296222.5948397863,212852.99910651313,158923.29186655203,135215.06307990247
NGC253,1478.9630543451756,16268.593597796931,41780.70628525121,90586.487078642,191155.9747741139,168601.78819535,195592.86393714944,187088.8263746647,203727.16073604792,162685.9359779693,139022.5271084465,102418.1915134034,72838.9304264999
NGC6240,423617.1879500915,3910581.809423572,12603486.583639083,33504268.50150724,38965779.35441751,46842958.46919194,57871009.229876146,63297510.39783186,57800989.85996703,48733481.4567378,46212784.140009984,43587057.768418506,34309491.25546195
